"","MRCA","MaxAge","MinAge","taxonA","taxonB","reference","mrca_node_number","mrca_node_name"
"536","f0fcba11079f65f51a0cb93b6e911922",2.403006,2.403006,"Pheucticus_tibialis","Pheucticus_melanocephalus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",303,"n303"
"635","c3ef8fd61490e8132777f13bc35d6470",2.563259,2.563259,"Pheucticus_tibialis","Pheucticus_melanocephalus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",303,"n303"
"672","ab8363eb8f1ab9abd3560ce906254ea6",3.53231400000001,3.53231400000001,"Pheucticus_aureoventris","Pheucticus_melanocephalus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",303,"n303"
"22","5cfe94124ab565dca00b90787baccf3f",3.770464,3.770464,"Pheucticus_melanocephalus","Pheucticus_aureoventris","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",303,"n303"
"227","6e0e01031dd16f04cf6198ae732d2719",4.36777800000001,4.36777800000001,"Pheucticus_aureoventris","Pheucticus_ludovicianus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",303,"n303"
"857","da98e053985239c8424626cc8929d05f",4.36787700000001,4.36787700000001,"Pheucticus_aureoventris","Pheucticus_melanocephalus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",303,"n303"
"287","cccbc32dbb310f9c776555fcc1af7cea",4.36788000000001,4.36788000000001,"Pheucticus_aureoventris","Pheucticus_ludovicianus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",303,"n303"
"465","9edf68047f141b689f6190c64167983c",2.689106,2.689106,"Pheucticus_melanocephalus","Pheucticus_ludovicianus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",304,"n304"
"813","cd949804ae492e7c5cec60305d0d8c81",2.82947800000001,2.82947800000001,"Pheucticus_melanocephalus","Pheucticus_ludovicianus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",304,"n304"
"566","ff8dd5e19cb4cd41c006ce0a862db50e",2.86337,2.86337,"Pheucticus_melanocephalus","Pheucticus_ludovicianus","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",304,"n304"
